date yr0 yrhalf yr01 yr02 yr03 yr04 yr05 yr07 yr10 yr15 yr20 yr30 yr40
20080602 0 0 0.00286 0.00475 0.0064 0.00808 0.00975 0.01127 0.01188 0 0 0 0
20080603 0 0 0.00286 0.00475 0.0064 0.00808 0.00975 0.01137 0.0121 0 0 0 0
20080604 0 0 0.00292 0.00485 0.00661 0.00833 0.01001 0.01158 0.01225 0 0 0 0
20080605 0 0 0.00287 0.00477 0.0065 0.00817 0.00978 0.01133 0.01205 0 0 0 0
20080606 0 0 0.00294 0.00488 0.00665 0.00832 0.00992 0.01145 0.01214 0 0 0 0
20080609 0 0 0.00309 0.00514 0.007 0.00865 0.01018 0.01169 0.01245 0 0 0 0
20080610 0 0 0.00298 0.00495 0.00704 0.00885 0.01053 0.01206 0.01262 0 0 0 0
20080611 0 0 0.00296 0.00492 0.00699 0.00879 0.01046 0.01199 0.01255 0 0 0 0
20080612 0 0 0.00301 0.00501 0.00712 0.00895 0.01065 0.01225 0.01292 0 0 0 0
20080613 0 0 0.00315 0.00524 0.00745 0.00919 0.01071 0.01222 0.01302 0 0 0 0
20080616 0 0 0.00314 0.00523 0.00743 0.00916 0.01068 0.01219 0.01299 0 0 0 0
20080617 0 0 0.00307 0.00511 0.00726 0.00895 0.01044 0.01199 0.01292 0 0 0 0
20080618 0 0 0.0031 0.00516 0.00734 0.00904 0.01055 0.0121 0.01303 0 0 0 0
20080619 0 0 0.00315 0.00525 0.00747 0.00919 0.01073 0.01234 0.01332 0 0 0 0
20080620 0 0 0.0032 0.00533 0.00759 0.00934 0.0109 0.01246 0.0133 0 0 0 0
20080623 0 0 0.00324 0.00539 0.00767 0.00944 0.01102 0.01258 0.01342 0 0 0 0
20080624 0 0 0.00325 0.00541 0.0077 0.00958 0.0113 0.013 0.014 0 0 0 0
20080625 0 0 0.00305 0.0052 0.00731 0.00938 0.01139 0.01323 0.01394 0 0 0 0
20080626 0 0 0.00315 0.00537 0.00755 0.00969 0.01177 0.01354 0.01393 0 0 0 0
20080627 0 0 0.00365 0.00637 0.009 0.01116 0.01305 0.01488 0.01575 0 0 0 0
20080630 0 0 0.00375 0.0075 0.00942 0.01143 0.01343 0.01528 0.01602 0 0 0 0
20080701 0 0 0.00385 0.00771 0.00968 0.01175 0.0138 0.01558 0.01608 0 0 0 0
